platform;repo_id;grids;topics;repo_last_commit_date;month;authors_count
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2014-10;2
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2015-10;2
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2017-03;1
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2017-04;1
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2017-08;2
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2018-01;2
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2019-09;1
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2019-10;1
github;biodiv/anycluster;maps;;2019-12-30T15:06:10:000;2019-12;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2014-01;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2014-04;5
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2014-05;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2014-06;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2014-07;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2014-08;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2014-09;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2015-01;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2015-02;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2015-05;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2015-07;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2015-09;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2015-11;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2015-12;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2016-02;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2016-03;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2016-04;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2016-05;3
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2016-06;3
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2016-08;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2016-10;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2016-11;2
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2016-12;1
github;anymail/django-anymail;email;amazon-ses, django, email, mailgun, mailjet, mandrill, postal, postmark, sendgrid, sendinblue, sparkpost;2022-05-03T15:27:05:000;2017-01;1
